type_batiment,type_installation_chauffage,type_installation_ecs,hauteur_sous_plafond,etiquette_dpe,etiquette_ges,surface_habitable_logement,nombre_niveau_logement,code_postal_ban,qualite_isolation_enveloppe,cout_total_5_usages_energie_n1,conso_5 usages_ef,conso_5_usages_ep,type_energie_principale_chauffage
maison,individuel,individuel,2.6,D,D,128.0,2.0,14740.0,moyenne,1728.5,22252.7,26601.6,Fioul domestique
appartement,individuel,individuel,2.5,C,A,70.8,1.0,91230.0,bonne,968.0,5184.6,11924.5,Électricité
appartement,individuel,individuel,2.5,E,B,34.6,1.0,93120.0,moyenne,772.0,4274.6,9831.6,Électricité
appartement,individuel,individuel,2.5,D,D,57.5,1.0,13015.0,insuffisante,1035.0,12580.8,12917.7,Gaz naturel
maison,individuel,individuel,2.4,G,C,63.0,2.0,63880.0,insuffisante,1579.3,51441.5,54174.6,Bois – Bûches
appartement,individuel,individuel,2.5,E,E,64.2,1.0,10120.0,insuffisante,1512.0,20004.7,20004.7,Gaz naturel
appartement,collectif,collectif,2.5,E,E,58.2,1.0,78000.0,insuffisante,955.0,15759.1,16160.0,Gaz naturel
appartement,individuel,individuel,2.5,C,A,66.2,1.0,77340.0,très bonne,822.4,4615.2,10615.0,Électricité
maison,individuel,individuel,2.5,E,B,125.0,2.0,62940.0,bonne,2757.7,16897.3,38863.8,Électricité
appartement,individuel,individuel,2.5,E,B,49.8,1.0,77610.0,bonne,1052.7,6093.0,14013.9,Électricité
appartement,individuel,individuel,2.5,D,B,49.0,1.0,92400.0,insuffisante,851.0,4771.8,10975.1,Électricité
appartement,individuel,individuel,1.4,D,D,164.7,3.0,74560.0,moyenne,2013.0,37911.5,40060.0,Gaz naturel
maison,individuel,individuel,2.5,E,B,162.5,2.0,83680.0,insuffisante,2754.6,22210.8,44152.0,Électricité
appartement,collectif,collectif,2.5,C,C,67.0,1.0,67000.0,insuffisante,766.0,10468.8,11420.1,Réseau de Chauffage urbain
appartement,individuel,individuel,2.7,D,A,30.2,2.0,93100.0,bonne,574.7,2982.9,6860.7,Électricité
maison,individuel,individuel,2.5,C,C,91.6,1.0,76290.0,moyenne,843.2,10039.8,10889.3,Gaz naturel
appartement,collectif,collectif,2.5,F,F,20.2,1.0,22810.0,bonne,988.9,7274.5,7744.8,GPL
appartement,individuel,individuel,2.5,C,C,68.9,1.0,33600.0,très bonne,395.3,4011.5,4605.4,Gaz naturel
appartement,individuel,individuel,2.5,D,B,71.8,1.0,60112.0,bonne,820.0,6180.2,14214.4,Électricité
maison,individuel,individuel,3.0,F,E,87.7,2.0,13010.0,insuffisante,1805.0,26474.8,29560.4,Gaz naturel
maison,individuel,individuel,2.5,B,A,85.3,2.0,33290.0,moyenne,471.0,2688.7,6184.1,Électricité
maison,individuel,individuel,2.4,B,A,95.0,1.0,33750.0,très bonne,112.0,5416.0,7909.7,Bois – Bûches
appartement,individuel,individuel,2.4,C,A,66.0,1.0,84000.0,très bonne,808.7,4524.9,10407.2,Électricité
appartement,individuel,individuel,2.4,D,B,43.4,1.0,83140.0,insuffisante,601.0,3640.3,8372.8,Électricité
appartement,individuel,individuel,2.5,D,D,91.6,1.0,34000.0,insuffisante,1438.0,18818.6,18818.6,Gaz naturel
appartement,collectif,collectif,2.5,D,D,78.0,13.0,50081.0,très bonne,643.0,11117.5,12190.0,Gaz naturel
maison,individuel,individuel,2.5,D,D,250.0,2.0,63260.0,bonne,2043.5,30705.6,34126.7,Fioul domestique
appartement,collectif,collectif,2.5,E,E,36.6,1.0,6800.0,insuffisante,576.5,9533.3,9950.8,Gaz naturel
appartement,individuel,individuel,2.9,C,A,19.2,1.0,69003.0,très bonne,387.0,1855.6,4267.9,Électricité
appartement,individuel,individuel,2.8,D,B,52.0,1.0,33800.0,très bonne,845.7,4768.7,10968.0,Électricité
maison,individuel,individuel,2.5,E,D,145.0,2.0,71540.0,moyenne,2746.0,34273.0,34273.0,Électricité
appartement,individuel,collectif,2.7,B,A,15.3,3.0,78350.0,très bonne,210.5,824.5,1896.3,Électricité
maison,individuel,individuel,2.5,F,F,58.0,1.0,35000.0,insuffisante,1739.8,23440.6,23869.4,Gaz naturel
maison,individuel,individuel,2.5,C,C,177.0,2.0,78620.0,moyenne,1368.9,25534.4,26722.2,Gaz naturel
appartement,collectif,collectif,2.5,D,D,122.1,8.0,6800.0,insuffisante,1100.0,19140.0,20869.2,Gaz naturel
appartement,individuel,individuel,2.5,F,C,44.6,1.0,87000.0,insuffisante,1323.1,7811.5,17966.4,Électricité
maison,individuel,individuel,2.5,D,B,29.3,1.0,34350.0,bonne,398.0,2569.4,2569.4,Électricité
maison,individuel,individuel,2.5,D,A,90.4,2.0,79000.0,très bonne,1128.0,7184.7,16524.9,Électricité
maison,individuel,individuel,2.5,C,A,93.8,1.0,85150.0,très bonne,921.0,5252.1,12079.9,Électricité
appartement,collectif,collectif,2.5,E,E,33.0,4.0,62140.0,insuffisante,547.5,9200.3,9745.7,Gaz naturel
appartement,collectif,collectif,2.4,F,F,60.6,1.0,91140.0,insuffisante,1233.8,20281.3,20678.0,Gaz naturel
appartement,individuel,individuel,2.5,D,B,18.3,5.0,83300.0,insuffisante,492.0,2326.9,5351.8,Électricité
appartement,individuel,individuel,2.5,E,B,40.8,1.0,30240.0,moyenne,801.0,4793.6,4793.6,Électricité
appartement,collectif,collectif,2.5,D,D,111.6,1.0,69009.0,insuffisante,1194.8,20661.6,22381.9,Gaz naturel
appartement,individuel,individuel,2.5,D,D,131.0,1.0,75007.0,insuffisante,1636.3,21975.0,22559.5,Gaz naturel
maison,individuel,individuel,2.5,E,E,225.0,3.0,77169.0,insuffisante,3573.0,52625.0,54433.1,Gaz naturel
maison,individuel,individuel,2.6,G,C,56.3,2.0,22510.0,insuffisante,416.0,15330.6,35260.4,Électricité
appartement,individuel,individuel,2.4,C,A,63.4,1.0,34130.0,bonne,982.8,4093.8,9415.7,Électricité
maison,individuel,individuel,2.5,C,A,88.4,2.0,13360.0,bonne,1146.4,6688.3,15383.1,Électricité
appartement,individuel,individuel,2.6,E,B,25.7,1.0,6590.0,insuffisante,730.3,4008.0,9218.3,Électricité
maison,individuel,individuel,2.5,A,A,107.8,1.0,38300.0,très bonne,521.4,2631.7,6052.9,Électricité
appartement,individuel,individuel,2.5,E,B,75.0,1.0,59000.0,insuffisante,1431.0,8500.6,19551.5,Électricité
appartement,individuel,individuel,2.5,C,C,67.0,1.0,59500.0,insuffisante,753.9,8740.6,9677.9,Gaz naturel
maison,individuel,individuel,2.5,D,B,75.0,1.0,95630.0,très bonne,1271.0,8093.4,18614.9,Électricité
appartement,individuel,individuel,2.4,D,D,71.0,1.0,41350.0,très bonne,886.6,10802.0,11778.4,Gaz naturel
appartement,individuel,individuel,2.3,E,B,21.0,1.0,33000.0,bonne,560.3,2887.9,6642.2,Électricité
appartement,collectif,collectif,2.5,C,C,77.4,10.0,10120.0,insuffisante,721.0,10087.2,11291.8,Gaz naturel
appartement,individuel,individuel,2.5,C,C,68.0,5.0,73800.0,très bonne,623.0,6737.6,7674.2,Gaz naturel
appartement,collectif,collectif,2.5,C,C,74.0,1.0,13008.0,insuffisante,537.0,9400.8,10311.0,Gaz naturel
appartement,individuel,individuel,2.5,E,B,14.2,1.0,4260.0,insuffisante,480.2,2354.3,5414.9,Électricité
appartement,collectif,individuel,2.5,D,C,64.0,1.0,69850.0,bonne,379.3,8360.0,11788.1,Gaz naturel
appartement,mixte (collectif-individuel),collectif,2.3,C,C,44.0,1.0,75006.0,insuffisante,337.4,6068.8,6921.2,Gaz naturel
maison,individuel,individuel,2.5,D,D,91.0,1.0,57500.0,bonne,1314.3,17588.9,18877.5,Gaz naturel
maison,individuel,individuel,2.5,G,C,75.0,1.0,72430.0,insuffisante,2904.1,17813.0,40969.9,Électricité
maison,individuel,individuel,2.5,G,F,67.6,1.0,61500.0,insuffisante,1663.6,29530.7,32223.0,Fioul domestique
appartement,individuel,individuel,2.5,E,B,53.1,1.0,67120.0,moyenne,1200.9,6763.7,15556.5,Électricité
maison,individuel,individuel,2.5,E,B,212.0,3.0,40130.0,insuffisante,3381.9,30310.8,57352.7,Électricité
maison,individuel,individuel,2.2,D,B,50.0,1.0,50081.0,insuffisante,908.1,5174.0,11900.2,Électricité
maison,individuel,individuel,2.5,D,D,75.0,2.0,29100.0,insuffisante,928.8,14197.9,14624.3,Gaz naturel
maison,individuel,individuel,2.5,D,B,114.0,2.0,66530.0,bonne,1435.0,9128.1,9128.1,Électricité
appartement,individuel,individuel,2.8,D,B,36.1,1.0,13006.0,bonne,660.9,3551.1,8167.4,Électricité
appartement,individuel,collectif,2.3,G,C,13.5,1.0,73210.0,insuffisante,702.3,3741.4,8605.3,Électricité
appartement,individuel,individuel,2.5,C,C,120.8,1.0,97429.0,insuffisante,1025.7,13361.4,14897.6,Gaz naturel
maison,individuel,individuel,2.5,D,D,82.9,1.0,71390.0,bonne,987.8,12501.6,13673.6,Gaz naturel
appartement,individuel,individuel,2.5,D,B,31.0,1.0,38000.0,bonne,830.7,3271.2,7523.7,Électricité
appartement,individuel,individuel,2.5,C,C,70.6,1.0,37100.0,insuffisante,800.0,9515.8,10538.5,Gaz naturel
appartement,individuel,individuel,2.6,C,A,119.2,1.0,30110.0,bonne,1176.6,6880.2,15824.5,Électricité
maison,individuel,individuel,2.5,E,B,92.4,2.0,56160.0,moyenne,1793.0,10794.9,24828.3,Électricité
maison,individuel,individuel,2.5,F,C,123.0,1.0,24200.0,insuffisante,3517.7,21650.3,49795.8,Électricité
appartement,individuel,individuel,2.5,D,A,35.7,1.0,13670.0,insuffisante,630.2,3348.4,7701.3,Électricité
maison,individuel,individuel,2.5,F,F,64.0,1.0,78200.0,moyenne,1449.8,18555.5,22061.4,Fioul domestique
appartement,collectif,collectif,2.5,C,C,52.0,1.0,6200.0,insuffisante,398.2,7329.4,8486.6,Gaz naturel
maison,individuel,individuel,2.6,D,C,121.6,1.0,46800.0,insuffisante,996.4,20000.9,22495.7,Gaz naturel
maison,individuel,individuel,2.1,E,E,270.9,3.0,71520.0,insuffisante,4168.0,47209.4,49315.4,Fioul domestique
maison,individuel,individuel,2.5,E,E,88.0,2.0,57690.0,insuffisante,1743.0,23509.4,23973.4,Gaz naturel
maison,individuel,individuel,2.7,D,B,136.6,1.0,16200.0,bonne,2238.0,13627.1,31342.4,Électricité
appartement,individuel,individuel,2.5,F,C,38.0,1.0,51000.0,insuffisante,1101.6,6403.9,14728.9,Électricité
appartement,collectif,individuel,2.5,D,D,70.9,1.0,91240.0,moyenne,825.3,12593.6,13541.5,Gaz naturel
appartement,individuel,individuel,2.5,A,A,40.4,1.0,6600.0,insuffisante,249.8,964.1,2217.4,Électricité
maison,individuel,individuel,2.5,E,D,90.2,2.0,29260.0,insuffisante,1473.4,21895.9,25617.6,Gaz naturel
appartement,collectif,individuel,2.5,D,D,74.8,1.0,33600.0,insuffisante,911.5,13302.5,14308.7,Gaz naturel
appartement,collectif,collectif,2.5,D,D,45.2,1.0,85000.0,bonne,570.7,9484.6,9825.7,Gaz naturel
maison,individuel,individuel,2.5,C,A,82.7,1.0,35133.0,très bonne,641.0,4962.7,11414.3,Électricité
maison,individuel,individuel,2.7,E,E,111.6,2.0,62116.0,moyenne,1759.0,28199.2,30383.0,Fioul domestique
appartement,collectif,collectif,2.5,E,E,44.0,1.0,67240.0,insuffisante,704.9,11740.1,12615.8,Gaz naturel
maison,individuel,individuel,2.4,C,A,60.0,1.0,56380.0,très bonne,609.0,3894.6,8957.6,Électricité
appartement,individuel,individuel,2.6,F,E,38.2,1.0,73000.0,insuffisante,889.6,11990.1,14451.6,Gaz naturel
maison,individuel,individuel,2.5,E,E,86.0,2.0,42300.0,insuffisante,1908.6,26748.8,28119.8,Gaz naturel
maison,individuel,individuel,2.5,C,C,110.8,1.0,57340.0,très bonne,663.2,7141.9,7806.1,Gaz naturel
appartement,individuel,individuel,2.5,C,A,60.3,1.0,13010.0,insuffisante,721.4,3949.8,9084.5,Électricité
appartement,individuel,individuel,2.5,D,A,43.7,1.0,56890.0,insuffisante,652.0,3492.5,8032.7,Électricité
appartement,individuel,individuel,2.4,E,B,40.5,1.0,50081.0,très bonne,854.0,5104.7,5104.7,Électricité
appartement,individuel,collectif,2.5,C,C,38.9,1.0,83250.0,très bonne,241.6,4448.9,5276.6,Électricité
appartement,individuel,individuel,2.7,E,E,50.0,1.0,46500.0,moyenne,723.0,10808.4,14583.7,Fioul domestique
maison,individuel,individuel,2.8,G,E,101.0,2.0,70120.0,insuffisante,754.3,44753.1,47367.5,Bois – Bûches
appartement,collectif,individuel,2.5,D,D,56.0,1.0,69400.0,insuffisante,434.8,9224.6,12446.7,Gaz naturel
appartement,individuel,individuel,2.8,D,D,68.3,1.0,67400.0,bonne,984.0,12387.0,13490.7,Gaz naturel
appartement,individuel,individuel,2.5,E,E,182.9,1.0,75008.0,insuffisante,3078.0,44514.2,45711.2,Gaz naturel
maison,individuel,individuel,2.5,F,F,79.9,1.0,19340.0,moyenne,2034.7,22724.7,23332.6,Fioul domestique
maison,individuel,individuel,2.5,D,B,111.8,2.0,64870.0,moyenne,573.6,21522.1,26206.6,Bois – Bûches
appartement,individuel,individuel,2.5,D,B,47.7,1.0,13090.0,bonne,745.1,4105.8,9443.3,Électricité
maison,individuel,individuel,2.5,D,B,140.3,2.0,42600.0,bonne,2088.2,12673.5,29149.1,Électricité
appartement,individuel,individuel,2.5,D,A,28.4,1.0,34500.0,moyenne,540.7,2729.1,6276.8,Électricité
maison,individuel,individuel,2.5,G,G,83.0,1.0,27800.0,insuffisante,3178.0,35505.2,36476.7,Fioul domestique
appartement,individuel,individuel,2.5,D,D,54.0,2.0,44220.0,très bonne,852.0,10252.7,11189.2,Gaz naturel
maison,individuel,individuel,4.0,D,B,212.0,2.0,78490.0,moyenne,3668.3,22592.5,51962.7,Électricité
appartement,individuel,individuel,2.5,D,D,27.8,1.0,14150.0,insuffisante,609.0,6041.6,6347.1,Gaz naturel
appartement,individuel,individuel,2.5,C,A,65.4,1.0,13140.0,insuffisante,687.9,3729.1,8576.9,Électricité
appartement,individuel,individuel,2.5,E,E,79.8,1.0,40110.0,insuffisante,1519.2,20127.2,20639.3,Gaz naturel
appartement,collectif,individuel,2.5,D,D,71.9,8.0,56470.0,très bonne,820.0,16623.5,17755.6,Réseau de Chauffage urbain
appartement,collectif,individuel,2.6,D,C,11.6,3.0,75013.0,insuffisante,98.0,2396.0,3638.0,Gaz naturel
appartement,collectif,collectif,2.5,C,C,78.0,1.0,92370.0,insuffisante,479.1,8572.8,9806.2,Gaz naturel
appartement,collectif,collectif,2.6,E,E,60.1,1.0,78000.0,insuffisante,1158.4,15605.5,16757.8,Réseau de Chauffage urbain
maison,individuel,individuel,2.5,B,A,110.1,1.0,33790.0,très bonne,778.6,4326.3,9950.4,Électricité
appartement,individuel,individuel,2.5,C,A,35.7,2.0,32120.0,bonne,624.0,2553.7,5873.4,Électricité
appartement,individuel,individuel,3.1,E,B,56.7,1.0,13005.0,insuffisante,538.0,7828.1,18004.7,Électricité
appartement,individuel,individuel,2.5,D,D,77.0,1.0,9100.0,insuffisante,1070.8,13220.5,13675.6,Gaz naturel
maison,individuel,individuel,2.4,D,B,134.5,2.0,74330.0,moyenne,2231.1,13581.7,31237.8,Électricité
maison,individuel,individuel,2.6,F,C,67.0,2.0,49800.0,insuffisante,1844.0,11126.1,25590.1,Électricité
appartement,individuel,individuel,2.5,D,B,102.8,1.0,30140.0,insuffisante,731.0,11870.0,23199.2,Électricité
maison,individuel,individuel,2.5,C,C,130.0,3.0,21310.0,bonne,1000.2,17274.8,18558.3,Gaz naturel
appartement,collectif,individuel,2.5,D,D,74.0,1.0,95400.0,insuffisante,980.0,14829.2,17923.3,Gaz naturel
appartement,individuel,individuel,2.5,D,B,47.0,1.0,75010.0,moyenne,892.9,4821.0,11088.3,Électricité
appartement,collectif,individuel,2.5,G,G,17.8,1.0,38860.0,insuffisante,976.7,12391.4,14612.0,Fioul domestique
maison,individuel,individuel,2.5,C,C,81.1,2.0,31490.0,très bonne,544.3,5343.6,5927.9,Gaz naturel
maison,individuel,individuel,2.5,E,B,68.0,2.0,14520.0,bonne,1300.7,7669.0,17638.8,Électricité
appartement,individuel,individuel,2.4,D,B,75.0,1.0,82370.0,bonne,1232.0,7236.6,16644.1,Électricité
maison,individuel,individuel,5.6,E,B,120.0,2.0,24560.0,insuffisante,2072.0,19459.0,35806.2,Électricité
appartement,individuel,individuel,2.5,G,G,56.7,1.0,57050.0,insuffisante,2372.1,33161.8,33645.9,Gaz naturel
appartement,collectif,individuel,2.5,E,E,68.0,1.0,71420.0,insuffisante,1199.0,17238.5,18155.7,Gaz naturel
maison,individuel,individuel,2.5,C,C,144.8,1.0,64800.0,moyenne,918.1,11353.1,12420.5,Gaz naturel
appartement,individuel,individuel,2.5,D,B,37.5,1.0,34080.0,insuffisante,699.0,3804.5,8750.3,Électricité
appartement,collectif,individuel,2.5,E,E,68.0,1.0,71420.0,insuffisante,1158.0,16688.9,17077.7,Gaz naturel
maison,individuel,individuel,2.5,F,C,130.0,2.0,25580.0,insuffisante,1505.7,50043.2,53950.0,Bois – Bûches
maison,individuel,individuel,2.5,D,B,78.0,2.0,59690.0,moyenne,1240.4,7285.8,16757.3,Électricité
maison,individuel,individuel,2.6,G,G,96.7,2.0,56500.0,insuffisante,2953.0,32741.2,33305.5,Fioul domestique
appartement,individuel,individuel,2.5,D,D,42.2,1.0,91220.0,moyenne,763.6,8435.0,8782.7,Gaz naturel
maison,individuel,individuel,2.8,G,G,193.0,2.0,60530.0,insuffisante,5708.2,63261.7,64330.5,Fioul domestique
appartement,individuel,individuel,2.5,C,A,28.9,1.0,6000.0,insuffisante,454.0,2168.2,4986.9,Électricité
appartement,individuel,individuel,2.5,D,D,65.8,1.0,51100.0,insuffisante,983.0,11669.4,11853.0,Gaz naturel
appartement,individuel,individuel,2.4,D,B,87.6,1.0,38118.0,insuffisante,1571.8,9391.8,21601.1,Électricité
appartement,individuel,individuel,2.5,G,C,19.0,1.0,75019.0,insuffisante,471.0,4200.9,9662.2,Électricité
maison,individuel,individuel,2.4,D,B,157.5,2.0,87520.0,moyenne,847.5,21946.8,32086.7,Bois – Granulés (pellets) ou briquettes
appartement,mixte (collectif-individuel),individuel,2.4,D,B,48.2,1.0,62640.0,bonne,819.0,4597.2,10573.6,Électricité
maison,individuel,individuel,2.5,E,C,89.0,2.0,56360.0,insuffisante,2099.4,12744.5,29312.4,Électricité
appartement,collectif,individuel,2.5,C,A,52.3,1.0,67400.0,très bonne,646.8,3318.4,7632.4,Électricité
appartement,collectif,collectif,2.4,F,F,46.0,1.0,39270.0,insuffisante,1126.8,12910.5,13671.1,Fioul domestique
appartement,mixte (collectif-individuel),individuel,2.8,E,B,62.6,1.0,49270.0,bonne,1401.0,8309.1,19110.9,Électricité
appartement,collectif,collectif,2.5,D,D,50.2,1.0,6220.0,moyenne,508.9,8462.6,8850.4,Gaz naturel
maison,individuel,individuel,2.8,G,G,113.0,1.0,19430.0,insuffisante,4004.2,46647.2,50348.6,Fioul domestique
appartement,collectif,individuel,2.5,C,C,65.0,5.0,76230.0,insuffisante,283.0,6748.6,9607.2,Gaz naturel
appartement,individuel,individuel,2.4,D,D,56.7,1.0,76000.0,insuffisante,1007.0,12570.1,13449.7,Gaz naturel
appartement,individuel,individuel,2.5,D,B,42.7,1.0,31200.0,très bonne,785.6,4372.4,10056.5,Électricité
appartement,individuel,individuel,2.7,E,D,44.0,1.0,62000.0,bonne,655.0,8615.3,11363.5,Gaz naturel
maison,individuel,individuel,2.5,C,C,114.2,1.0,85300.0,très bonne,621.1,7030.9,8387.7,Gaz naturel
maison,individuel,individuel,2.5,G,C,95.8,1.0,63990.0,insuffisante,1954.7,63241.3,66069.4,Bois – Bûches
appartement,mixte (collectif-individuel),individuel,2.5,F,F,51.7,1.0,76550.0,insuffisante,1377.0,17888.9,18307.5,Gaz naturel
maison,individuel,individuel,2.9,E,E,187.8,3.0,92600.0,insuffisante,2930.8,48174.7,57057.7,Gaz naturel
appartement,individuel,individuel,2.5,C,C,44.7,1.0,6800.0,insuffisante,476.0,4793.3,5463.3,Gaz naturel
appartement,individuel,individuel,2.5,E,E,29.2,1.0,42000.0,moyenne,716.2,7692.3,8016.8,Gaz naturel
maison,individuel,individuel,2.5,E,B,81.0,2.0,67240.0,moyenne,1662.0,9964.8,22919.0,Électricité
appartement,collectif,collectif,2.5,C,C,42.1,3.0,74800.0,bonne,287.0,4473.8,4963.7,Gaz naturel
appartement,collectif,collectif,2.7,F,F,47.9,4.0,72000.0,insuffisante,1128.0,18389.7,18734.8,Gaz naturel
appartement,individuel,individuel,2.5,F,C,88.7,1.0,92160.0,insuffisante,2643.3,16181.6,37217.7,Électricité
appartement,collectif,individuel,3.0,D,C,106.8,1.0,73000.0,bonne,1041.8,15926.3,19421.3,Réseau de Chauffage urbain
appartement,individuel,individuel,2.5,C,A,41.4,1.0,13790.0,insuffisante,468.2,2269.4,5219.5,Électricité
appartement,individuel,individuel,2.5,D,B,46.0,1.0,76630.0,moyenne,800.9,4473.4,10288.9,Électricité
appartement,individuel,individuel,2.6,E,B,29.0,1.0,95160.0,bonne,577.0,4113.4,9460.8,Électricité
appartement,individuel,individuel,2.5,D,D,42.0,1.0,64000.0,insuffisante,645.0,6597.6,6912.1,Gaz naturel
immeuble,individuel,individuel,2.4,G,C,82.68599311136624,2.0,1000.0,insuffisante,1704.3,10233.6,23537.3,Électricité
maison,individuel,individuel,2.5,D,D,99.6,1.0,59140.0,insuffisante,1207.0,15567.5,16372.8,Gaz naturel
maison,individuel,individuel,2.5,C,C,98.1,1.0,72100.0,bonne,896.8,10593.7,11096.4,Gaz naturel
maison,individuel,individuel,2.5,D,D,102.0,2.0,35540.0,moyenne,1521.2,20557.5,21589.0,Gaz naturel
appartement,individuel,individuel,2.5,C,C,66.2,1.0,25000.0,très bonne,433.1,4339.9,4918.7,Gaz naturel
appartement,individuel,individuel,2.8,C,A,25.6,1.0,69007.0,très bonne,399.1,1778.3,4090.1,Électricité
appartement,individuel,individuel,2.6,D,D,104.0,1.0,88200.0,insuffisante,1663.0,22306.8,22792.6,Gaz naturel
appartement,individuel,individuel,2.5,E,B,35.0,2.0,64600.0,insuffisante,870.6,4933.1,11346.2,Électricité
appartement,individuel,individuel,2.5,C,A,69.7,1.0,83600.0,insuffisante,825.0,4678.0,10759.5,Électricité
appartement,mixte (collectif-individuel),collectif,2.5,D,D,46.2,1.0,20000.0,insuffisante,426.0,5809.6,6328.6,Réseau de Chauffage urbain
appartement,individuel,individuel,2.4,E,B,28.6,1.0,6420.0,insuffisante,725.7,3978.3,9150.1,Électricité
appartement,individuel,individuel,2.5,C,C,67.0,1.0,68100.0,insuffisante,790.2,9058.9,9688.4,Gaz naturel
maison,individuel,individuel,2.5,F,C,48.6,1.0,63970.0,bonne,1506.0,8977.8,8977.8,Électricité
maison,individuel,individuel,2.1,D,B,79.8,1.0,24000.0,moyenne,1164.0,8829.7,17669.2,Électricité
appartement,individuel,individuel,2.5,D,D,75.0,1.0,56850.0,insuffisante,1132.3,14770.3,16017.7,Gaz naturel
maison,individuel,individuel,2.4,B,A,153.0,2.0,53480.0,très bonne,977.9,9521.7,16824.8,Bois – Granulés (pellets) ou briquettes
appartement,mixte (collectif-individuel),collectif,2.5,C,C,44.1,1.0,67200.0,moyenne,291.0,4956.3,5513.3,Gaz naturel
appartement,individuel,individuel,2.5,D,D,70.6,1.0,38200.0,insuffisante,1217.7,15428.6,15831.2,Gaz naturel
maison,individuel,individuel,2.5,D,D,100.0,1.0,71510.0,bonne,1107.0,14920.8,18582.3,Fioul domestique
appartement,individuel,individuel,3.3,E,B,80.5,1.0,83150.0,insuffisante,1694.0,10529.9,24218.8,Électricité
maison,individuel,individuel,3.3,D,D,290.0,2.0,47190.0,insuffisante,3903.3,57771.4,59304.8,Gaz naturel
appartement,individuel,individuel,2.5,C,C,48.9,1.0,69970.0,bonne,551.0,5454.3,6104.1,Gaz naturel
maison,individuel,individuel,2.5,E,B,150.0,2.0,2140.0,bonne,754.0,31749.4,42400.6,Bois – Bûches
appartement,individuel,individuel,2.4,C,A,48.6,1.0,17100.0,insuffisante,609.0,3078.5,7080.5,Électricité
appartement,collectif,collectif,2.5,E,E,48.7,1.0,92400.0,insuffisante,770.0,12461.4,12816.6,Gaz naturel
appartement,individuel,individuel,2.5,D,D,52.6,1.0,13300.0,insuffisante,856.0,10144.4,10874.7,Gaz naturel
maison,individuel,individuel,2.5,F,C,112.0,2.0,35610.0,insuffisante,3091.8,18986.9,43669.9,Électricité
appartement,individuel,individuel,2.7,C,C,36.5,1.0,97230.0,moyenne,404.8,3972.0,4404.2,Gaz naturel
maison,individuel,individuel,2.4,C,C,175.0,2.0,42330.0,moyenne,1482.3,29495.5,31120.9,Gaz naturel
maison,individuel,individuel,3.0,E,B,67.0,1.0,44450.0,bonne,387.4,14692.7,18061.1,Bois – Bûches
maison,individuel,individuel,2.4,C,A,106.0,2.0,37360.0,bonne,1141.0,6655.5,15307.6,Électricité
appartement,collectif,collectif,2.5,E,E,117.0,1.0,51000.0,bonne,1813.1,29574.9,30098.2,Gaz naturel
